2022-05-03 13:36:39.526 DEBUG [http-nio-8181-exec-11] [org.jboss.logging.LoggerProviders.logProvider(LoggerProviders.java:152)] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2022-05-03 13:36:39.560 DEBUG [http-nio-8181-exec-11] [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:45)] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2022-05-03 13:36:39.571 DEBUG [http-nio-8181-exec-11] [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:45)] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2022-05-03 13:36:39.672 INFO [http-nio-8181-exec-11] [org.hibernate.Version.logVersion(Version.java:44)] - HHH000412: Hibernate ORM core version 6.0.0.Final
2022-05-03 13:36:40.075 DEBUG [http-nio-8181-exec-11] [org.hibernate.cfg.Environment.<clinit>(Environment.java:163)] - HHH000206: hibernate.properties not found
2022-05-03 13:36:40.544 DEBUG [http-nio-8181-exec-11] [org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver.resolveEntity(LocalXmlResourceResolver.java:82)] - Checking public/system identifiers `-//Hibernate/Hibernate Configuration DTD 3.0//EN`/`http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd` as DTD references
2022-05-03 13:36:40.548 WARN [http-nio-8181-exec-11] [org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver.resolveEntity(LocalXmlResourceResolver.java:106)] - HHH90000012: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/hibernate-configuration. Use namespace http://www.hibernate.org/dtd/hibernate-configuration instead.  Support for obsolete DTD/XSD namespaces may be removed at any time.
2022-05-03 13:36:40.559 DEBUG [http-nio-8181-exec-11] [org.hibernate.boot.cfgxml.internal.JaxbCfgProcessor.unmarshal(JaxbCfgProcessor.java:115)] - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2022-05-03 13:36:41.035 DEBUG [http-nio-8181-exec-11] [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:45)] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2022-05-03 13:36:41.035 DEBUG [http-nio-8181-exec-11] [org.hibernate.integrator.internal.IntegratorServiceImpl.addIntegrator(IntegratorServiceImpl.java:45)] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2022-05-03 13:36:41.053 DEBUG [http-nio-8181-exec-11] [org.hibernate.cfg.Configuration.buildSessionFactory(Configuration.java:679)] - Building session factory using provided StandardServiceRegistry
2022-05-03 13:36:41.100 DEBUG [http-nio-8181-exec-11] [org.hibernate.id.factory.internal.StandardIdentifierGeneratorFactory.<init>(StandardIdentifierGeneratorFactory.java:93)] - Resolving IdentifierGenerator instances will not use CDI as it was not configured
2022-05-03 13:36:41.117 DEBUG [http-nio-8181-exec-11] [org.hibernate.id.factory.internal.StandardIdentifierGeneratorFactory.register(StandardIdentifierGeneratorFactory.java:160)] - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2022-05-03 13:36:41.118 DEBUG [http-nio-8181-exec-11] [org.hibernate.id.factory.internal.StandardIdentifierGeneratorFactory.register(StandardIdentifierGeneratorFactory.java:160)] - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2022-05-03 13:36:41.122 DEBUG [http-nio-8181-exec-11] [org.hibernate.id.factory.internal.StandardIdentifierGeneratorFactory.register(StandardIdentifierGeneratorFactory.java:160)] - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
